SECTOR,year,STATE_PROVINCE_CODE,CITY_NAME,qtr,TXN_MTH,month,scaled_amt
RESTAURANTS,2013,AK,ANCHOR POINT,1,2013-01-01,1,51067.3976359669
RESTAURANTS,2013,AK,ANCHOR POINT,1,2013-02-01,2,59428.6229328306
RESTAURANTS,2013,AK,ANCHOR POINT,1,2013-03-01,3,88395.8704125508
RESTAURANTS,2013,AK,ANCHOR POINT,2,2013-04-01,4,70705.8989325227
RESTAURANTS,2013,AK,ANCHOR POINT,2,2013-05-01,5,119249.769316828
RESTAURANTS,2013,AK,ANCHOR POINT,2,2013-06-01,6,154821.410255123
RESTAURANTS,2013,AK,ANCHOR POINT,3,2013-07-01,7,147034.458566511
RESTAURANTS,2013,AK,ANCHOR POINT,3,2013-08-01,8,115433.540838683
RESTAURANTS,2013,AK,ANCHOR POINT,3,2013-09-01,9,119714.485682136
RESTAURANTS,2013,AK,ANCHOR POINT,4,2013-10-01,10,102539.275028983
RESTAURANTS,2013,AK,ANCHOR POINT,4,2013-11-01,11,95579.3754818034
RESTAURANTS,2013,AK,ANCHOR POINT,4,2013-12-01,12,69960.7259163045
RESTAURANTS,2013,AK,ANCHORAGE,1,2013-01-01,1,51042111.7720265
RESTAURANTS,2013,AK,ANCHORAGE,1,2013-02-01,2,54190001.0055729
RESTAURANTS,2013,AK,ANCHORAGE,1,2013-03-01,3,63916001.8518639
RESTAURANTS,2013,AK,ANCHORAGE,2,2013-04-01,4,54544400.583476
RESTAURANTS,2013,AK,ANCHORAGE,2,2013-05-01,5,58478304.2109309
RESTAURANTS,2013,AK,ANCHORAGE,2,2013-06-01,6,60005375.345722
RESTAURANTS,2013,AK,ANCHORAGE,3,2013-07-01,7,58542559.8953329
RESTAURANTS,2013,AK,ANCHORAGE,3,2013-08-01,8,64419896.0169343
RESTAURANTS,2013,AK,ANCHORAGE,3,2013-09-01,9,51564841.2980662
RESTAURANTS,2013,AK,ANCHORAGE,4,2013-10-01,10,59082351.3803798
RESTAURANTS,2013,AK,ANCHORAGE,4,2013-11-01,11,53288274.1657984
RESTAURANTS,2013,AK,ANCHORAGE,4,2013-12-01,12,50133403.5582698
RESTAURANTS,2013,AK,BADGER,1,2013-01-01,1,1279557.8274586
RESTAURANTS,2013,AK,BADGER,1,2013-02-01,2,1388636.24006224
RESTAURANTS,2013,AK,BADGER,1,2013-03-01,3,1687170.41743531
RESTAURANTS,2013,AK,BADGER,2,2013-04-01,4,1522005.23606031
RESTAURANTS,2013,AK,BADGER,2,2013-05-01,5,1687831.61603388
RESTAURANTS,2013,AK,BADGER,2,2013-06-01,6,1757908.42330898
RESTAURANTS,2013,AK,BADGER,3,2013-07-01,7,1828491.57486813
RESTAURANTS,2013,AK,BADGER,3,2013-08-01,8,1799792.14899173
RESTAURANTS,2013,AK,BADGER,3,2013-09-01,9,1660450.81929507
RESTAURANTS,2013,AK,BADGER,4,2013-10-01,10,1784794.32040534
RESTAURANTS,2013,AK,BADGER,4,2013-11-01,11,1523206.01644175
RESTAURANTS,2013,AK,BADGER,4,2013-12-01,12,1570114.90498116
RESTAURANTS,2013,AK,BARROW,1,2013-01-01,1,623440.288143415
RESTAURANTS,2013,AK,BARROW,1,2013-02-01,2,918522.301457944
RESTAURANTS,2013,AK,BARROW,1,2013-03-01,3,943637.304063083
RESTAURANTS,2013,AK,BARROW,2,2013-04-01,4,929049.254412839
RESTAURANTS,2013,AK,BARROW,2,2013-05-01,5,835627.824750688
RESTAURANTS,2013,AK,BARROW,2,2013-06-01,6,1141509.12917205
RESTAURANTS,2013,AK,BARROW,3,2013-07-01,7,1251635.4333282
RESTAURANTS,2013,AK,BARROW,3,2013-08-01,8,1178089.47484357
RESTAURANTS,2013,AK,BARROW,3,2013-09-01,9,856356.368877857
RESTAURANTS,2013,AK,BARROW,4,2013-10-01,10,755023.816633839
RESTAURANTS,2013,AK,BARROW,4,2013-11-01,11,877684.592673318
