SECTOR,year,STATE_PROVINCE_CODE,qtr,TXN_MTH,FIPS,scaled_amt,mo
RESTAURANTS,2010,AK,1,2010-01-01,2013,428669.499163549,1
RESTAURANTS,2010,AK,1,2010-01-01,2016,371219.417328104,1
RESTAURANTS,2010,AK,1,2010-01-01,2020,42056533.5024891,1
RESTAURANTS,2010,AK,1,2010-01-01,2050,1221080.62629097,1
RESTAURANTS,2010,AK,1,2010-01-01,2060,65506.4025501733,1
RESTAURANTS,2010,AK,1,2010-01-01,2068,33884.2424188961,1
RESTAURANTS,2010,AK,1,2010-01-01,2070,77887.7009875553,1
RESTAURANTS,2010,AK,1,2010-01-01,2090,9473123.34283066,1
RESTAURANTS,2010,AK,1,2010-01-01,2100,670376.4054905,1
RESTAURANTS,2010,AK,1,2010-01-01,2105,18042.3666014948,1
RESTAURANTS,2010,AK,1,2010-01-01,2110,3785812.99919885,1
RESTAURANTS,2010,AK,1,2010-01-01,2122,6838716.49355223,1
RESTAURANTS,2010,AK,1,2010-01-01,2130,1695153.83952136,1
RESTAURANTS,2010,AK,1,2010-01-01,2150,1424750.67005786,1
RESTAURANTS,2010,AK,1,2010-01-01,2170,8210401.95360389,1
RESTAURANTS,2010,AK,1,2010-01-01,2180,591814.516268163,1
RESTAURANTS,2010,AK,1,2010-01-01,2185,741917.746068899,1
RESTAURANTS,2010,AK,1,2010-01-01,2188,279094.056176361,1
RESTAURANTS,2010,AK,1,2010-01-01,2195,584320.506146448,1
RESTAURANTS,2010,AK,1,2010-01-01,2198,256761.425742241,1
RESTAURANTS,2010,AK,1,2010-01-01,2220,769453.669080045,1
RESTAURANTS,2010,AK,1,2010-01-01,2230,43276.3719430525,1
RESTAURANTS,2010,AK,1,2010-01-01,2240,901722.315227385,1
RESTAURANTS,2010,AK,1,2010-01-01,2261,1554643.16519049,1
RESTAURANTS,2010,AK,1,2010-01-01,2275,128026.736460031,1
RESTAURANTS,2010,AK,1,2010-01-01,2282,31766.0020933538,1
RESTAURANTS,2010,AK,1,2010-01-01,2290,59180.9308168556,1
RESTAURANTS,2010,AK,1,2010-02-01,2013,219190.339576968,2
RESTAURANTS,2010,AK,1,2010-02-01,2016,393612.514369987,2
RESTAURANTS,2010,AK,1,2010-02-01,2020,41580039.4209654,2
RESTAURANTS,2010,AK,1,2010-02-01,2050,1278434.81961146,2
RESTAURANTS,2010,AK,1,2010-02-01,2060,71480.8711177933,2
RESTAURANTS,2010,AK,1,2010-02-01,2068,90917.4205290203,2
RESTAURANTS,2010,AK,1,2010-02-01,2070,96769.3626618896,2
RESTAURANTS,2010,AK,1,2010-02-01,2090,10057648.3558453,2
RESTAURANTS,2010,AK,1,2010-02-01,2100,628302.234060329,2
RESTAURANTS,2010,AK,1,2010-02-01,2105,81932.706992606,2
RESTAURANTS,2010,AK,1,2010-02-01,2110,3974719.59843146,2
RESTAURANTS,2010,AK,1,2010-02-01,2122,7132288.73412814,2
RESTAURANTS,2010,AK,1,2010-02-01,2130,1876501.9420542,2
RESTAURANTS,2010,AK,1,2010-02-01,2150,1567747.72047303,2
RESTAURANTS,2010,AK,1,2010-02-01,2170,8006889.26594008,2
RESTAURANTS,2010,AK,1,2010-02-01,2180,581530.793409401,2
RESTAURANTS,2010,AK,1,2010-02-01,2185,679957.805402002,2
RESTAURANTS,2010,AK,1,2010-02-01,2188,200671.245885435,2
RESTAURANTS,2010,AK,1,2010-02-01,2195,568063.656495939,2
RESTAURANTS,2010,AK,1,2010-02-01,2198,285665.613673993,2
RESTAURANTS,2010,AK,1,2010-02-01,2220,1010836.55572121,2
RESTAURANTS,2010,AK,1,2010-02-01,2230,38466.7963399631,2
RESTAURANTS,2010,AK,1,2010-02-01,2240,960415.1308596,2
RESTAURANTS,2010,AK,1,2010-02-01,2261,1643905.31709522,2
RESTAURANTS,2010,AK,1,2010-02-01,2275,134780.893283878,2
RESTAURANTS,2010,AK,1,2010-02-01,2282,31257.2311682032,2
RESTAURANTS,2010,AK,1,2010-02-01,2290,68887.2072909709,2
RESTAURANTS,2010,AK,1,2010-03-01,2013,455733.331624917,3
RESTAURANTS,2010,AK,1,2010-03-01,2016,415805.506467697,3
RESTAURANTS,2010,AK,1,2010-03-01,2020,47841658.6813154,3
RESTAURANTS,2010,AK,1,2010-03-01,2050,1433690.59145322,3
RESTAURANTS,2010,AK,1,2010-03-01,2060,51542.0460504973,3
RESTAURANTS,2010,AK,1,2010-03-01,2068,100912.068083758,3
RESTAURANTS,2010,AK,1,2010-03-01,2070,122673.658237271,3
